title;pricedc;terjual;link;Original Price;Min Price;Max Price
Daviena Skincare Paket Gold Series Davienaskincareofficial Davina Devina Lampung Surabaya Jakarta Pencerah Pemutih Flek Wajah Glowing Bpom Daviena Skincare;65.000;861 Terjual/ Bulan;/Daviena-Skincare-Paket-Gold-Series-Davienaskincareofficial-Davina-Devina-Lampung-Surabaya-Jakarta-Pencerah-Pemutih-Flek-Wajah-Glowing-Bpom-Daviena-Skincare-i.72151131.18506141792?sp_atk=da44f6fc-ee08-424f-bf1c-84b7d1ac54e6&xptdk=da44f6fc-ee08-424f-bf1c-84b7d1ac54e6;;65000;300000
Paket wajah scarlett whitening brightly / paket acne/ scarlett face skincare facial complete;208.000;816 Terjual/ Bulan;/Paket-wajah-scarlett-whitening-brightly-paket-acne-scarlett-face-skincare-facial-complete-i.6080165.8543473484?sp_atk=e624121e-ea01-4356-9335-a219bdda0a8e&xptdk=e624121e-ea01-4356-9335-a219bdda0a8e;220000.0;208000;208000
L'Oreal Paris Revitalift Anti-Wrinkle Set Day + Night 50 ml - Skincare Krim Siang & Malam Loreal;300.400;799 Terjual/ Bulan;/L'Oreal-Paris-Revitalift-Anti-Wrinkle-Set-Day-Night-50-ml-Skincare-Krim-Siang-Malam-Loreal-i.62579622.6038184666?sp_atk=fcac2e5f-d0ac-4b9f-8ba2-6de201fd9f83&xptdk=fcac2e5f-d0ac-4b9f-8ba2-6de201fd9f83;460000.0;300400;300400
DAVIENA SKINCARE GOLD SERIES DAVIENASKINCARE GOLD SERIES DAVIENASKINCAREOFFICIAL OFFICIAL STORE;300.000;743 Terjual/ Bulan;/DAVIENA-SKINCARE-GOLD-SERIES-DAVIENASKINCARE-GOLD-SERIES-DAVIENASKINCAREOFFICIAL-OFFICIAL-STORE-i.199103890.5673068671?sp_atk=5e88dccf-3d72-49b2-81ba-cd62f504d31e&xptdk=5e88dccf-3d72-49b2-81ba-cd62f504d31e;300000.0;300000;300000
NAHDA SKINCARE + SERUM (HARGA GROSIR);35.000;749 Terjual/ Bulan;/NAHDA-SKINCARE-SERUM-(HARGA-GROSIR)-i.261670705.7333677976?sp_atk=074b3e6e-a663-432d-b279-4004c399b075&xptdk=074b3e6e-a663-432d-b279-4004c399b075;;35000;215000
JUSTMINE Beauty Glowing Skincare Bpom Paket Glowing Acne Jelly Acne More Removespot | Skin Care;255.000;748 Terjual/ Bulan;/JUSTMINE-Beauty-Glowing-Skincare-Bpom-Paket-Glowing-Acne-Jelly-Acne-More-Removespot-Skin-Care-i.239729597.5222203131?sp_atk=ef4d84fd-fe02-47a2-955c-abbd47452569&xptdk=ef4d84fd-fe02-47a2-955c-abbd47452569;;255000;275000
REGLOW Paket Perawatan Kecantikan Wajah Glowing | Glow Skin Treatment | Atasi Muka Jerawat Flek Hitam Milia Kusam | Skincare Skin Care BPOM Halal MUI | Sunscreen Whitening Anti-Aging | Aman Bumil Busui;265.000;746 Terjual/ Bulan;/REGLOW-Paket-Perawatan-Kecantikan-Wajah-Glowing-Glow-Skin-Treatment-Atasi-Muka-Jerawat-Flek-Hitam-Milia-Kusam-Skincare-Skin-Care-BPOM-Halal-MUI-Sunscreen-Whitening-Anti-Aging-Aman-Bumil-Busui-i.488789415.5496815699?sp_atk=acd2f66b-65b9-4498-b9c5-c44b3fb079b3&xptdk=acd2f66b-65b9-4498-b9c5-c44b3fb079b3;265000.0;265000;265000
RATU GLOW SKINCARE PAKET BRIGHTENING & ACNE ORIGINAL PENCERAH WAJAH;178.000;737 Terjual/ Bulan;/RATU-GLOW-SKINCARE-PAKET-BRIGHTENING-ACNE-ORIGINAL-PENCERAH-WAJAH-i.119744013.9965776551?sp_atk=f60eeacd-d544-4043-8037-97eb983b8602&xptdk=f60eeacd-d544-4043-8037-97eb983b8602;235000.0;178000;178000
❄️MATCHA❄️ HANASUI SKINCARE FLAWLESS SERIES - CREAM CLEANSER ESSENCE ORIGINAL;16.999;741 Terjual/ Bulan;/❄️MATCHA❄️-HANASUI-SKINCARE-FLAWLESS-SERIES-CREAM-CLEANSER-ESSENCE-ORIGINAL-i.121790223.9742687987?sp_atk=a38c017d-0d0d-4c90-806f-d20aaa0bd30d&xptdk=a38c017d-0d0d-4c90-806f-d20aaa0bd30d;;16999;82999
Ponds Age Miracle Day Cream Moisturizer Anti Aging+Glowing With Retinol & Spf18 50G;118.100;1RB+ Terjual/ Bulan;/Ponds-Age-Miracle-Day-Cream-Moisturizer-Anti-Aging-Glowing-With-Retinol-Spf18-50G-i.14318452.127358332?sp_atk=e31798f5-d539-4759-8d52-4473de5cdeb1&xptdk=e31798f5-d539-4759-8d52-4473de5cdeb1;188600.0;118100;118100
Ponds Bright Beauty Serum Facial Foam Sabun Muka With Hyaluronic Acid &Niacinamide 100Gx2;46.900;1RB+ Terjual/ Bulan;/Ponds-Bright-Beauty-Serum-Facial-Foam-Sabun-Muka-With-Hyaluronic-Acid-Niacinamide-100Gx2-i.14318452.5531377479?sp_atk=ea2f2237-b7d2-424f-bcdd-4c0300549018&xptdk=ea2f2237-b7d2-424f-bcdd-4c0300549018;67500.0;46900;46900
DAVIENA SKINCARE Gold Series Noda Hitam Paket dan Satuan Facial Wash Toner Serum Day Night Cream;65.000;4 Terjual/ Bulan;/DAVIENA-SKINCARE-Gold-Series-Noda-Hitam-Paket-dan-Satuan-Facial-Wash-Toner-Serum-Day-Night-Cream-i.656808531.15442565145?sp_atk=0f855c4f-4ed8-4be6-93bf-9a9532ea49db&xptdk=0f855c4f-4ed8-4be6-93bf-9a9532ea49db;;65000;300000
CREAM PEMBESAR PAYUDARA HYDRO BREAST CREAM;220.000;5 Terjual/ Bulan;/CREAM-PEMBESAR-PAYUDARA-HYDRO-BREAST-CREAM-i.64239393.13089359517?sp_atk=83256fd2-e2bd-4941-a5a7-dfb309f5092c&xptdk=83256fd2-e2bd-4941-a5a7-dfb309f5092c;220000.0;220000;220000
REGLOW Paket perawatan wajah;40.000;1RB+ Terjual/ Bulan;/REGLOW-Paket-perawatan-wajah-i.414475137.8635110806?sp_atk=e89d8b4b-f71e-480b-91de-23784e9f6a2b&xptdk=e89d8b4b-f71e-480b-91de-23784e9f6a2b;;40000;265000
MS GLOW PAKET ACNE FULL BARCODE ORIGINAL;165.000;182 Terjual/ Bulan;/MS-GLOW-PAKET-ACNE-FULL-BARCODE-ORIGINAL-i.311342719.4653140015?sp_atk=bfafe3a0-3ccb-4ae8-98b1-7eac2a08cf1e&xptdk=bfafe3a0-3ccb-4ae8-98b1-7eac2a08cf1e;;165000;300000
Vaseline Men Healthy Bright Face Wash 100 gr Twin Pack;60.400;198 Terjual/ Bulan;/Vaseline-Men-Healthy-Bright-Face-Wash-100-gr-Twin-Pack-i.14318452.3331816250?sp_atk=40bdd933-e51b-49b9-8dcf-338e9f1e1011&xptdk=40bdd933-e51b-49b9-8dcf-338e9f1e1011;78800.0;60400;60400
